date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:06	232/232	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2024%20Oct%202024%2015:04:56%20GMT	https://arcticchallenge.se/robots.txt		(from )
17:05:06	16261/16261	---MCZ	200	added ('OK')	text/html	etag:W/%2297df05a7aa5eced0b3eae1993455438c%22	https://arcticchallenge.se/	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/index.html	(from )
17:05:06	303/303	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2024%20Oct%202024%2015:04:56%20GMT	https://arcticchallenge.se/imag/favicon.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/imag/favicon.png	(from https://arcticchallenge.se/)
17:05:07	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%22152b5-9kem033EygVc7Tz2S7wfSQBwrLo%22	https://cdn.jsdelivr.net/jquery/3.1.1/jquery.min.js	D:/GamejamWebsite/GameJam%20Website/cdn.jsdelivr.net/jquery/3.1.1/jquery.min.js	(from https://arcticchallenge.se/)
17:05:07	544907/544907	---M--	200	added ('OK')	text/css	etag:%22c054140b42c20c887b10a28591cf8c5a%22	https://arcticchallenge.se/stylesheets/semantic.css	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/stylesheets/semantic.css	(from https://arcticchallenge.se/)
17:05:07	275163/275163	---M--	200	added ('OK')	application/javascript	etag:%22aec7acd7c1a69e2e97dc0fbea881c666%22	https://arcticchallenge.se/js/semantic.js	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/js/semantic.js	(from https://arcticchallenge.se/)
17:05:07	52789/52789	---M--	200	added ('OK')	text/css	etag:%22178b651958ceff556cbc5f355e08bbf1%22	https://arcticchallenge.se/stylesheets/animate.css	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/stylesheets/animate.css	(from https://arcticchallenge.se/)
17:05:07	18941/18941	---M--	200	added ('OK')	text/css	etag:%226ba437316beb4c6a7a8fdcea52f4b3fd%22	https://arcticchallenge.se/stylesheets/main.css	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/stylesheets/main.css	(from https://arcticchallenge.se/)
17:05:08	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%221668fed96e70f8b5795850a0e14333ef%22	https://arcticchallenge.se/js/main.min.js	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/js/main.min.js	(from https://arcticchallenge.se/)
17:05:08	706/706	---M--	200	added ('OK')	image/png	etag:%227ae35f544347e3cc82061b79d2f642c7%22	https://arcticchallenge.se/assets/images/hAckAton.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/hAckAton.png	(from https://arcticchallenge.se/)
17:05:08	5104/5104	---M--	200	added ('OK')	image/png	etag:%22a11d1faa028d35afe81e8c484bb0aff2%22	https://arcticchallenge.se/assets/images/title.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/title.png	(from https://arcticchallenge.se/)
17:05:08	446/446	---M--	200	added ('OK')	image/png	etag:%22e64e6688cfcce5d6bbcb2ea07e5c83d3%22	https://arcticchallenge.se/assets/images/arrow.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/arrow.png	(from https://arcticchallenge.se/)
17:05:09	105355/105355	---M--	200	added ('OK')	image/jpeg	etag:%22fd291ea7b627db5346d4a753c17485cb%22	https://arcticchallenge.se/assets/images/stock1.jpeg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/stock1.jpg	(from https://arcticchallenge.se/)
17:05:09	43595/43595	---M--	200	added ('OK')	image/jpeg	etag:%225cb01ecf218e51896a393e386eeb8765%22	https://arcticchallenge.se/assets/images/stock3.jpeg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/stock3.jpg	(from https://arcticchallenge.se/)
17:05:09	114763/114763	---M--	200	added ('OK')	image/jpeg	etag:%22fb921fa4f5db3fdb8cc867896d1b1809%22	https://arcticchallenge.se/assets/images/stock2.jpeg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/stock2.jpg	(from https://arcticchallenge.se/)
17:05:09	110714/110714	---M--	200	added ('OK')	image/jpeg	etag:%2241d16bc4a28996c3a6679e09b2460cdd%22	https://arcticchallenge.se/assets/images/1.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/1.jpg	(from https://arcticchallenge.se/)
17:05:09	113380/113380	---M--	200	added ('OK')	image/jpeg	etag:%2298b10df71532538068dabf6b4a166d0e%22	https://arcticchallenge.se/assets/images/2.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/2.jpg	(from https://arcticchallenge.se/)
17:05:10	122078/122078	---M--	200	added ('OK')	image/jpeg	etag:%22b79c5f2e7a1d45834bbc2954f62a5c01%22	https://arcticchallenge.se/assets/images/3.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/3.jpg	(from https://arcticchallenge.se/)
17:05:10	121289/121289	---M--	200	added ('OK')	image/jpeg	etag:%22aa77f6a0f3166a1b71223d682e00c0d8%22	https://arcticchallenge.se/assets/images/4.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/4.jpg	(from https://arcticchallenge.se/)
17:05:10	99648/99648	---M--	200	added ('OK')	image/jpeg	etag:%224e7379e1d8c6cac90ca9abe5b281e221%22	https://arcticchallenge.se/assets/images/5.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/5.jpg	(from https://arcticchallenge.se/)
17:05:10	351596/351596	---M--	200	added ('OK')	image/jpeg	etag:%223bb2f381a9125d9b3a0285e82ce7f0de%22	https://arcticchallenge.se/assets/images/6.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/6.jpg	(from https://arcticchallenge.se/)
17:05:10	116522/116522	---M--	200	added ('OK')	image/jpeg	etag:%229e096ed3016397f2c457a39b0768481d%22	https://arcticchallenge.se/assets/images/7.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/7.jpg	(from https://arcticchallenge.se/)
17:05:11	5468/5468	---M--	200	added ('OK')	image/png	etag:%2250a5b7dc6a4868bc02559777f6f3dcfa%22	https://arcticchallenge.se/img/Acuerdo-logga.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/Acuerdo-logga.png	(from https://arcticchallenge.se/)
17:05:11	12742/12742	---M--	200	added ('OK')	image/png	etag:%225b0f23558cf8443fab5aa6ff79005ab2%22	https://arcticchallenge.se/img/DFS.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/DFS.png	(from https://arcticchallenge.se/)
17:05:11	3974/3974	---M--	200	added ('OK')	image/png	etag:%22e0fb5c2c02c049f3551062d59cc9fe25%22	https://arcticchallenge.se/img/LTU.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/LTU.png	(from https://arcticchallenge.se/)
17:05:11	1263707/1263707	---M--	200	added ('OK')	image/png	etag:%2264c6e2a879047d6afcf08bb3e204b32f%22	https://arcticchallenge.se/img/sk.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/sk.png	(from https://arcticchallenge.se/)
17:05:12	41945/41945	---M--	200	added ('OK')	image/png	etag:%228814541a9b60e7e83cc5700bddbc3535%22	https://arcticchallenge.se/img/abb.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/abb.png	(from https://arcticchallenge.se/)
17:05:12	32216/32216	---M--	200	added ('OK')	image/png	etag:%224f02fc9cb8bc0ea405cf6d08dec34403%22	https://arcticchallenge.se/img/ericsson.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/ericsson.png	(from https://arcticchallenge.se/)
17:05:12	1967/1967	---M--	200	added ('OK')	image/png	etag:%222605166c9c5310bfb579fa08101494e9%22	https://arcticchallenge.se/img/nuiteq.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/nuiteq.png	(from https://arcticchallenge.se/)
17:05:12	8544/8544	---M--	200	added ('OK')	image/png	etag:%222da58fd11df7774f1fbef6a6f2f63b2e%22	https://arcticchallenge.se/img/DA.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/DA.png	(from https://arcticchallenge.se/)
17:05:12	8568/8568	---M--	200	added ('OK')	image/jpeg	etag:%223ea145fb979949504e251707d99a4afd%22	https://arcticchallenge.se/img/Science-city.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/Science-city.jpg	(from https://arcticchallenge.se/)
17:05:13	168569/168569	---M--	200	added ('OK')	image/jpeg	etag:%22502f21acaa947103535069aed82321f9%22	https://arcticchallenge.se/img/NextGenerationEU.jpeg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/NextGenerationEU.jpg	(from https://arcticchallenge.se/)
17:05:13	17609/17609	---M--	200	added ('OK')	image/png	etag:%22fefab73dd1a131782e5524a0d49f0138%22	https://arcticchallenge.se/img/Skellefteakommun.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/Skellefteakommun.png	(from https://arcticchallenge.se/)
17:05:13	9819/9819	---M--	200	added ('OK')	image/png	etag:%22821aae6b5e06041e8d3e5b455f0b1074%22	https://arcticchallenge.se/img/EUlogo.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/EUlogo.png	(from https://arcticchallenge.se/)
17:05:13	22437/22437	---M--	200	added ('OK')	image/jpeg	etag:%221529da82c94c85d25d9a5c527f1952ef%22	https://arcticchallenge.se/img/Logo_RVB_RGB.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/img/Logo_RVB_RGB.jpg	(from https://arcticchallenge.se/)
17:05:13	1488/1488	---M--	200	added ('OK')	image/png	etag:%22c9a48c27046b7807aadefcd32a45a0ec%22	https://arcticchallenge.se/assets/images/Nuiteq_white.png	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/Nuiteq_white.png	(from https://arcticchallenge.se/)
17:05:14	27912/27912	---M--	200	added ('OK')	font/otf	etag:%22b1abb878e2529cb5cb4450139844155d%22	https://arcticchallenge.se/assets/AvenirLTStd-Black.otf	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/AvenirLTStd-Black.otf	(from https://arcticchallenge.se/stylesheets/main.css)
17:05:14	27264/27264	---M--	200	added ('OK')	font/otf	etag:%224f995fa49446998983e05df9994dc96c%22	https://arcticchallenge.se/assets/AvenirLTStd-Medium.otf	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/AvenirLTStd-Medium.otf	(from https://arcticchallenge.se/stylesheets/main.css)
17:05:14	792573/792573	---M--	200	added ('OK')	image/jpeg	etag:%223a3550828020c2810ad4d5a8f519de7c%22	https://arcticchallenge.se/assets/images/aurora.jpg	D:/GamejamWebsite/GameJam%20Website/arcticchallenge.se/assets/images/aurora.jpg	(from https://arcticchallenge.se/stylesheets/main.css)
